epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,8979,1.50288,1.84167,1.82439,0.38376,0.51677,0.43051,0.20217,1.83826,2.03683,1.92213,0.005743,0.005743,0.005743
45,9186.6,1.4803,1.81392,1.84552,0.51685,0.54019,0.51673,0.2323,1.81145,1.70687,2.00401,0.005644,0.005644,0.005644
46,9396.53,1.45634,1.75659,1.80533,0.48467,0.625,0.55199,0.27364,1.71347,1.70656,1.9196,0.005545,0.005545,0.005545
47,9608.18,1.42561,1.78451,1.7987,0.64352,0.56097,0.59436,0.27471,1.74611,1.63512,1.90423,0.005446,0.005446,0.005446
48,9819.39,1.42383,1.6962,1.75775,0.52819,0.61352,0.55865,0.31162,1.67441,1.63097,1.9083,0.005347,0.005347,0.005347
49,10029.3,1.40387,1.77179,1.76356,0.43038,0.5124,0.51216,0.28583,1.66526,1.77979,1.94735,0.005248,0.005248,0.005248
50,10240.7,1.41665,1.66929,1.75013,0.47288,0.56592,0.49961,0.2649,1.66786,1.85976,1.9078,0.005149,0.005149,0.005149
51,10450.6,1.38456,1.63333,1.71129,0.55055,0.5525,0.57928,0.29811,1.69085,1.76188,2.04968,0.00505,0.00505,0.00505
52,10662.5,1.38883,1.66109,1.73587,0.7013,0.44048,0.55756,0.29801,1.58644,1.72425,1.86053,0.004951,0.004951,0.004951
53,10872.4,1.35749,1.63919,1.72521,0.46394,0.60023,0.5055,0.23124,1.75382,1.90966,1.89169,0.004852,0.004852,0.004852
54,11083,1.31825,1.56119,1.6684,0.49693,0.65698,0.5298,0.28981,1.53375,1.8441,1.83354,0.004753,0.004753,0.004753
55,11293.3,1.32527,1.58582,1.69295,0.60745,0.70238,0.59807,0.31591,1.68806,1.7206,1.90047,0.004654,0.004654,0.004654
56,11503.3,1.31142,1.60936,1.66211,0.51838,0.54762,0.46755,0.24804,1.63911,1.65884,1.93315,0.004555,0.004555,0.004555
57,11712.2,1.3158,1.56738,1.68017,0.69701,0.68973,0.64862,0.33503,1.59602,1.59303,1.83207,0.004456,0.004456,0.004456
58,11923.1,1.27517,1.49879,1.64622,0.59074,0.5583,0.51686,0.27684,1.47854,1.72968,1.78211,0.004357,0.004357,0.004357
59,12133,1.2801,1.46498,1.62565,0.66504,0.625,0.609,0.32981,1.66031,1.72985,1.95927,0.004258,0.004258,0.004258
60,27032.1,1.28021,1.49114,1.64146,0.42228,0.58333,0.53684,0.26991,1.65159,1.81022,1.9043,0.004159,0.004159,0.004159
61,27240.1,1.25736,1.49971,1.61372,0.72918,0.54167,0.57801,0.29094,1.62758,1.56255,1.95614,0.00406,0.00406,0.00406
62,27445,1.24754,1.48742,1.58413,0.5275,0.77381,0.56778,0.30562,1.58515,1.64244,1.89915,0.003961,0.003961,0.003961
63,27651.6,1.27138,1.3999,1.61309,0.6614,0.58929,0.58305,0.32893,1.54483,1.68651,1.78836,0.003862,0.003862,0.003862
64,27856.9,1.25019,1.45808,1.60359,0.69779,0.58333,0.63206,0.34225,1.56261,1.68294,1.85294,0.003763,0.003763,0.003763
65,28069.4,1.21636,1.40383,1.59412,0.57928,0.61905,0.59243,0.32969,1.58945,1.76073,1.86245,0.003664,0.003664,0.003664
66,28273.6,1.22423,1.42426,1.5514,0.78832,0.51116,0.63275,0.35769,1.52221,1.5572,1.91043,0.003565,0.003565,0.003565
67,28476.2,1.16981,1.36147,1.53048,0.47124,0.63101,0.59103,0.31599,1.55154,1.62141,1.89468,0.003466,0.003466,0.003466
68,28678.2,1.19024,1.37913,1.56189,0.66562,0.57738,0.6322,0.33528,1.57393,1.66314,1.87868,0.003367,0.003367,0.003367
69,28882.5,1.18533,1.31544,1.53093,0.69716,0.51632,0.58359,0.3374,1.50727,1.64597,1.84349,0.003268,0.003268,0.003268
70,29084.6,1.20813,1.37247,1.57627,0.58929,0.66667,0.62907,0.39943,1.46545,1.50652,1.73372,0.003169,0.003169,0.003169
71,29286,1.18665,1.35067,1.55284,0.51854,0.63095,0.59626,0.33207,1.47632,1.66626,1.73098,0.00307,0.00307,0.00307
72,29488.1,1.18546,1.32213,1.54135,0.55983,0.63095,0.62626,0.35947,1.57798,1.53664,1.88541,0.002971,0.002971,0.002971
73,29690.9,1.1568,1.29668,1.51247,0.72882,0.64948,0.68173,0.41637,1.51317,1.51946,1.86116,0.002872,0.002872,0.002872
74,29893.5,1.13303,1.2818,1.49834,0.60465,0.69882,0.63525,0.36291,1.49565,1.48893,1.8216,0.002773,0.002773,0.002773
75,30095.1,1.14407,1.29854,1.51676,0.60895,0.59524,0.61767,0.34243,1.67485,1.65441,1.8565,0.002674,0.002674,0.002674
76,30295.8,1.11921,1.27125,1.47193,0.56063,0.6917,0.60925,0.32066,1.58557,1.66462,1.88949,0.002575,0.002575,0.002575
77,30496.4,1.17462,1.38097,1.54674,0.55588,0.65476,0.59419,0.34013,1.52858,1.55759,1.87133,0.002476,0.002476,0.002476
78,30699,1.04962,1.19293,1.46093,0.5483,0.68588,0.61843,0.35899,1.48681,1.5583,1.86558,0.002377,0.002377,0.002377
79,30901.1,1.08898,1.20974,1.47137,0.54548,0.6903,0.57774,0.36004,1.45414,1.51422,1.81294,0.002278,0.002278,0.002278
80,31099.6,1.06168,1.20131,1.46133,0.50806,0.55357,0.55451,0.34319,1.4879,1.61795,1.82076,0.002179,0.002179,0.002179
81,31299.3,1.07368,1.1746,1.43084,0.72089,0.625,0.60737,0.35226,1.51419,1.59407,1.77523,0.00208,0.00208,0.00208
82,31499,1.09616,1.221,1.47322,0.77193,0.55357,0.61977,0.37864,1.51454,1.4743,1.80354,0.001981,0.001981,0.001981
83,31702.7,1.07308,1.16625,1.45304,0.71469,0.69643,0.63866,0.36945,1.59203,1.51697,1.95811,0.001882,0.001882,0.001882
